,F1_F1,F2_F2,F3_F3,F4_F4,F5_F5,F6_F6,F7_F7,F8_F8,F9_F9,F23_F23,F22_F22,F18_F18,F20_F20,F12_F12,F13_F13,F10_F10,F11_F11,F16_F16,F17_F17,F14_F14,F15_F15
F1_F1,0.0,0.54,0.48,0.6066666666666667,0.4666666666666667,0.52,0.48,0.5466666666666666,0.5933333333333333,0.6599999999999999,0.6733333333333333,0.5266666666666666,0.5333333333333333,0.4866666666666667,0.5333333333333333,0.5266666666666666,0.5533333333333333,0.54,0.5066666666666666,0.56,0.5066666666666666
F2_F2,0.54,0.0,0.5733333333333333,0.21999999999999997,0.5533333333333333,0.54,0.5466666666666666,0.5333333333333333,0.52,0.6599999999999999,0.6133333333333333,0.5666666666666667,0.4733333333333334,0.5066666666666666,0.5866666666666667,0.5133333333333333,0.5933333333333333,0.5333333333333333,0.5066666666666666,0.5533333333333333,0.5733333333333333
F3_F3,0.48,0.5733333333333333,0.0,0.6133333333333333,0.5866666666666667,0.5933333333333333,0.6,0.5,0.5800000000000001,0.6466666666666667,0.6466666666666667,0.5533333333333333,0.5533333333333333,0.44666666666666666,0.5333333333333333,0.54,0.5933333333333333,0.54,0.5466666666666666,0.6066666666666667,0.5333333333333333
F4_F4,0.6066666666666667,0.21999999999999997,0.6133333333333333,0.0,0.62,0.6,0.6066666666666667,0.62,0.5933333333333333,0.6933333333333334,0.6733333333333333,0.6333333333333333,0.5800000000000001,0.6066666666666667,0.6733333333333333,0.6,0.6266666666666667,0.5666666666666667,0.5666666666666667,0.6066666666666667,0.6666666666666667
F5_F5,0.4666666666666667,0.5533333333333333,0.5866666666666667,0.62,0.0,0.45333333333333337,0.5333333333333333,0.4933333333333333,0.56,0.6799999999999999,0.6266666666666667,0.5933333333333333,0.6066666666666667,0.5533333333333333,0.54,0.5533333333333333,0.4866666666666667,0.6333333333333333,0.6,0.54,0.4866666666666667
F6_F6,0.52,0.54,0.5933333333333333,0.6,0.45333333333333337,0.0,0.52,0.4666666666666667,0.5533333333333333,0.6799999999999999,0.6533333333333333,0.5800000000000001,0.5666666666666667,0.5266666666666666,0.5266666666666666,0.5066666666666666,0.5,0.5533333333333333,0.56,0.48,0.4666666666666667
F7_F7,0.48,0.5466666666666666,0.6,0.6066666666666667,0.5333333333333333,0.52,0.0,0.5133333333333333,0.5866666666666667,0.6866666666666666,0.6933333333333334,0.5733333333333333,0.54,0.43999999999999995,0.5466666666666666,0.54,0.4933333333333333,0.5866666666666667,0.4866666666666667,0.5,0.6133333333333333
F8_F8,0.5466666666666666,0.5333333333333333,0.5,0.62,0.4933333333333333,0.4666666666666667,0.5133333333333333,0.0,0.5466666666666666,0.6133333333333333,0.6466666666666667,0.4866666666666667,0.6066666666666667,0.5666666666666667,0.52,0.5,0.4066666666666666,0.5133333333333333,0.54,0.5333333333333333,0.45333333333333337
F9_F9,0.5933333333333333,0.52,0.5800000000000001,0.5933333333333333,0.56,0.5533333333333333,0.5866666666666667,0.5466666666666666,0.0,0.6466666666666667,0.6533333333333333,0.5533333333333333,0.62,0.5466666666666666,0.5733333333333333,0.5533333333333333,0.56,0.5533333333333333,0.5666666666666667,0.6,0.52
F23_F23,0.6599999999999999,0.6599999999999999,0.6466666666666667,0.6933333333333334,0.6799999999999999,0.6799999999999999,0.6866666666666666,0.6133333333333333,0.6466666666666667,0.0,0.6933333333333334,0.6266666666666667,0.74,0.6533333333333333,0.76,0.6666666666666667,0.6333333333333333,0.64,0.7266666666666667,0.6733333333333333,0.64
F22_F22,0.6733333333333333,0.6133333333333333,0.6466666666666667,0.6733333333333333,0.6266666666666667,0.6533333333333333,0.6933333333333334,0.6466666666666667,0.6533333333333333,0.6933333333333334,0.0,0.6866666666666666,0.6599999999999999,0.64,0.7,0.6666666666666667,0.6733333333333333,0.5666666666666667,0.6666666666666667,0.7266666666666667,0.6599999999999999
F18_F18,0.5266666666666666,0.5666666666666667,0.5533333333333333,0.6333333333333333,0.5933333333333333,0.5800000000000001,0.5733333333333333,0.4866666666666667,0.5533333333333333,0.6266666666666667,0.6866666666666666,0.0,0.5133333333333333,0.4866666666666667,0.5266666666666666,0.5666666666666667,0.6133333333333333,0.5333333333333333,0.5,0.5800000000000001,0.5666666666666667
F20_F20,0.5333333333333333,0.4733333333333334,0.5533333333333333,0.5800000000000001,0.6066666666666667,0.5666666666666667,0.54,0.6066666666666667,0.62,0.74,0.6599999999999999,0.5133333333333333,0.0,0.5533333333333333,0.5666666666666667,0.5933333333333333,0.6133333333333333,0.4933333333333333,0.4933333333333333,0.6066666666666667,0.6799999999999999
F12_F12,0.4866666666666667,0.5066666666666666,0.44666666666666666,0.6066666666666667,0.5533333333333333,0.5266666666666666,0.43999999999999995,0.5666666666666667,0.5466666666666666,0.6533333333333333,0.64,0.4866666666666667,0.5533333333333333,0.0,0.4,0.5533333333333333,0.56,0.54,0.48,0.6333333333333333,0.6066666666666667
F13_F13,0.5333333333333333,0.5866666666666667,0.5333333333333333,0.6733333333333333,0.54,0.5266666666666666,0.5466666666666666,0.52,0.5733333333333333,0.76,0.7,0.5266666666666666,0.5666666666666667,0.4,0.0,0.6133333333333333,0.5800000000000001,0.5800000000000001,0.5666666666666667,0.6533333333333333,0.5066666666666666
F10_F10,0.5266666666666666,0.5133333333333333,0.54,0.6,0.5533333333333333,0.5066666666666666,0.54,0.5,0.5533333333333333,0.6666666666666667,0.6666666666666667,0.5666666666666667,0.5933333333333333,0.5533333333333333,0.6133333333333333,0.0,0.54,0.6066666666666667,0.5533333333333333,0.5933333333333333,0.5
F11_F11,0.5533333333333333,0.5933333333333333,0.5933333333333333,0.6266666666666667,0.4866666666666667,0.5,0.4933333333333333,0.4066666666666666,0.56,0.6333333333333333,0.6733333333333333,0.6133333333333333,0.6133333333333333,0.56,0.5800000000000001,0.54,0.0,0.5533333333333333,0.5800000000000001,0.5533333333333333,0.4933333333333333
F16_F16,0.54,0.5333333333333333,0.54,0.5666666666666667,0.6333333333333333,0.5533333333333333,0.5866666666666667,0.5133333333333333,0.5533333333333333,0.64,0.5666666666666667,0.5333333333333333,0.4933333333333333,0.54,0.5800000000000001,0.6066666666666667,0.5533333333333333,0.0,0.62,0.6666666666666667,0.56
F17_F17,0.5066666666666666,0.5066666666666666,0.5466666666666666,0.5666666666666667,0.6,0.56,0.4866666666666667,0.54,0.5666666666666667,0.7266666666666667,0.6666666666666667,0.5,0.4933333333333333,0.48,0.5666666666666667,0.5533333333333333,0.5800000000000001,0.62,0.0,0.5466666666666666,0.6133333333333333
F14_F14,0.56,0.5533333333333333,0.6066666666666667,0.6066666666666667,0.54,0.48,0.5,0.5333333333333333,0.6,0.6733333333333333,0.7266666666666667,0.5800000000000001,0.6066666666666667,0.6333333333333333,0.6533333333333333,0.5933333333333333,0.5533333333333333,0.6666666666666667,0.5466666666666666,0.0,0.5666666666666667
F15_F15,0.5066666666666666,0.5733333333333333,0.5333333333333333,0.6666666666666667,0.4866666666666667,0.4666666666666667,0.6133333333333333,0.45333333333333337,0.52,0.64,0.6599999999999999,0.5666666666666667,0.6799999999999999,0.6066666666666667,0.5066666666666666,0.5,0.4933333333333333,0.56,0.6133333333333333,0.5666666666666667,0.0
