Sr. No.	Sent Code 	Accession Bank ID	Genus	Species	Scientific Name	Source or Donor Name	Local Names	Collection Country	Collection Site	Place of collection
1	F1	1543	Vicia	Faba	Vicia faba L.	Dr Salem alghamdy	hassawy_3	Saudi-Arabia	KSA(Al-Hasa)	Saudi-Arabia
2	F2	1544	Vicia	Faba	Vicia faba L.	Dr Salem alghamdy	Misr_3	Egypt	Egypt	Egypt
3	F3	1545	Vicia	Faba	Vicia faba L.	Dr Salem alghamdy	L53_D	Saudi-Arabia	KSA	Saudi-Arabia
4	F4	1546	Vicia	Faba	Vicia faba L.	Dr Salem alghamdy	hassawy1	Saudi-Arabia	KSA(Al-Hasa)	Saudi-Arabia
5	F5	1547	Vicia	Faba	Vicia faba L.	Dr Salem alghamdy	luz_x_G716	Saudi-Arabia	KSA	Saudi-Arabia
6	F6	1548	Vicia	Faba	Vicia faba L.	Dr Salem alghamdy	ksu_9-13	Saudi-Arabia	KSA	Saudi-Arabia
7	F7	1549	Vicia	Faba	Vicia faba L.	Dr Salem alghamdy	ksu_11-13	Saudi-Arabia	KSA	Saudi-Arabia
8	F8	1550	Vicia	Faba	Vicia faba L.	Dr Salem alghamdy	ksu_8-13	Saudi-Arabia	KSA	Saudi-Arabia
9	F9	1551	Vicia	Faba	Vicia faba L.	Dr Salem alghamdy	ksu_16-13	Saudi-Arabia	KSA	Saudi-Arabia
10	F10	1552	Vicia	Faba	Vicia faba L.	Dr Salem alghamdy	sakha-1_x_luz	Saudi-Arabia	KSA	Saudi-Arabia
11	F11	1558	Vicia	Faba	Vicia faba L.	Dr Salem alghamdy	L56-DP	Saudi-Arabia	KSA	Saudi-Arabia
12	F12	1559	Vicia	Faba	Vicia faba L.	Dr Salem alghamdy	TW-3	Saudi-Arabia	KSA	Saudi-Arabia
13	F13	1560	Vicia	Faba	Vicia faba L.	Dr Salem alghamdy	TW-4	Saudi-Arabia	KSA	Saudi-Arabia
14	F14	1553	Vicia	Faba	Vicia faba L.	Dr Salem alghamdy	sakha-2	Egypt	Egypt	Egypt
15	F15	1554	Vicia	Faba	Vicia faba L.	Dr Salem alghamdy	luz 	Spain	Spain	Spain
16	F16	1555	Vicia	Faba	Vicia faba L.	Dr Salem alghamdy	Firod	Australia	Australia	Australia
17	F17	1556	Vicia	Faba	Vicia faba L.	Dr Salem alghamdy	gazira-1	Sudan	Sudan	Sudan
18	F18	1557	Vicia	Faba	Vicia faba L.	Dr Salem alghamdy	jazira-2	Sudan	Sudan	Sudan
19	F19	822	Vicia	Faba	Vicia faba L.	Market	822		KSA(Najd)	Riyadh
20	F20	823	Vicia	Faba	Vicia faba L.	Market	823		KSA(Najd)	Riyadh
21	F21	824	Vicia	Faba	Vicia faba L.	Market	824		KSA(Najd)	Riyadh
22	F22	1561	Vicia	Faba	Vicia faba L.	Dr Salem alghamdy	PBA	Australia	Australia	Australia
23	F23	1562	Vicia	Faba	Vicia faba L.	Dr Salem alghamdy	Giza-Blanka 	Egypt	Egypt	Egypt